id,first_name,last_name,email,profile_image,dues_paid,last_dues_payment,chapter_name
1,Garek,Baselio,gbaselio0@ucla.edu,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAMLSURBVDjLXZNbSBRRHMaHSHrpKehCYTch06AoTEiyy0MPEVFIUbYkqOFmgoZZBK2uli3VlrHeVitzUzPqoTT00VoqLe1CIomL3XPD3dnZ2ZnZcXac2fk6M+VY/eF3OPzP//vgfIdDAaCivdQcQiVhmDBEmKf3/4b0Fv85HyQkz/Qp9iGVQLgSfW2ZmA49hfgqOyDcXP1CLS7yKkWFjGItYKbz87x8/fJn4puC0NSojSHzg4REwyBwjzrHDR71y5O94F9Y2PCNpYLorAbffB1sRxPYdje4xqvgL5Qh5F4gRt/bROH9qSDRvSUkUD88VDk/bGPCXgsbaFimcLfrwHd1QnY5oJUWQis+htjlcnD374BpOo1gx8a49P2+OtmV4iPaZOpTM5X52Z3gm3AtErnbtRAfeBBtv4XYxHco8jTUmAzp21cIrhqILXWYbDiEieak2Oe6ue+INvl3QKeOOKNOO/hHdxFtaYReqqqCpmnMlBaPg3NcRKT9JkKluWC3b7loZKAvalGhl2uqQcxRjqmPX0xRa2srZFk29n19fWDfDUM6kQ/GUQUuLcNrGuhJs21uaHnZiE8rpoHdbkd3dzcqKiowNDQEgWGh7cgA7b6OyIZ0xjQgz8SwdxqhHdoHRYoZYkmS4HQ6DfHIyIjR4yZpaJlpCDaSF0rdNGsg5+R4I7WXESs5jvDbYWNYURQMDAxAEAQzk8CTfkiHs0BX2RBes372CrHsI5V8+VkwnR6wZ8oQV+P4v/QeY7XiZ2sLQrm5YFalVpoG0oGDaVP7sz6Ea68g7LpmmERHx6BpmkF0zIdwaQmClxygHeeJOOVDKHFNmmmgI+7Zaw2UnRFplxM/OzyQ8rOh7c6AtisdkiULPzwe+Otd8B+wiERsNf/CzIbcd6ce1mDfEzVUUoxQtR3BhhoD2m6Dv+QkXj5/rg3092tkdts/Bj09PQsJwvj4OHofP2Yi6VurIus3e/WkSVgMs3qdl1mxtpKc8T6fD2RWISSZBm1tbfMJYwSZsO7/rzwDOVtJiBD8hCV67xfvC+0h/fUq5wAAAABJRU5ErkJggg==",FALSE,2/11/2020,Muzi
2,Norma,Keyte,nkeyte1@archive.org,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAQAAAC1+jfqAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAArSURBVCjPY/jPgB8y0EHByf/4IVDBHzzwBUTByUGgAK8jX/zHDxkGQVwAACuKdiqzzuaTAAAAAElFTkSuQmCC",TRUE,3/2/2020,Neuville
3,Humbert,Lehemann,hlehemann2@plala.or.jp,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAKvSURBVDjLpVNNTxNRFD1vZtoZICkyhdYilFQ0QKSayoJEoyY10UTjgh0LUXcuJW5wSYwfG1caNCxY8RPQxOBHEDEkREJSS2qpIKHWllLol+10pp0Z3xsCupPEl9x3J5N7zj3v3Fximib+5wjsGh8ff1ipVILVarVO13WiqqpNURQ7y4ZhEFEUNVmWX46MjAyz+qGhoT6avk9OTu6QsbGxRp7nc4FAAEwNBVgRWXqDG9eOQ1ubwNP33XC4e7CyEruZzWafUbCDBpPez3d2doZ7e3tlt9uNeDyOVCqFTCaDVm83Zha3EC2exqm+cyCEIJlMDnAcJ0qSBEEQSKFQOC/QrsccDgfC4TBcLhf8fj/oU0CfgpaWFkQiEczNzcHpdCIYDGJzcxO5XM6qiUajXQIrTKfTaG5uRrXBiyfvFJRqBAbVJxIbLrQdhVwsUvkrYCoZMBaLwePxWE/l2FUqldDe3o6pLxpUk4Nko2HnoHM2fPjRYAG3t7ctsKZpoAbvqxQYAXXbil+6nQJ5CBx1iFpE6KWZdtAJWcHArI59s2wpYCx7rOyYprELpiQcDZ4jKJfLVs3fCvYI9hVQR2E361AzJHBsQuauCjsU5PN59JEEvK9H4c38RBcvIp4+ifk9AsYYCoUQaPVjKe+CKkjg6dhshoIj2jKwOIWrPh49F+9A9J2AEprG8se3WNvIQ2DdWQc2Hmc2i36fzzKHyS1S9xnxwNZndF+/D2l1Bph9gPrGQ/B1dOBMJAaBznR4fX39MVUiNjU1kYWFBcIImDKWqWGm7FCJdNgHXLn7ZwdGPaCDZ0b/e5mmLwnxs4O32ho2XkFVUijTf8UCj6+rSHAH2bh62T2xPD9bS1bqUOBtyO4QfEsQnbZ+Tg66zp8GvfdKOz9v8zrp0HkzQVEvLk/XHv0Gq/ySugg7yEwAAAAASUVORK5CYII=",FALSE,7/26/2020,Kusŏng
4,Risa,Cobbing,rcobbing3@go.com,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAJASURBVDjLpZO9T5NRFMZ/9+3bD4pFDIgaJAI68BHDQCQmxc3ERCf+AgaNk5uTMQ6u6kDC4kJMdHJxIzHGARIlaowxOhBNFAOB0oq0b0vb9+PeexxaaScYPMu9Ofc8z7nPc+5VIsL/hMN/hnvQ4fOFm7Gt+LXljszRrG/SJFyXmPaI3t/uvPXwU+1Qgi336vLA8PnsxNkTxBMuBS8kv+PxrXz/FTB9qIRkV392bPA4pdAhVzZoFWPwdC8dmZ7svoTvixc+p7rGxpRq5xKCyo8NP3pEMpnAq2isQKCFlBtDYsmWB0qckYHpJ3GlFEgDjFJof2c4ubiGH0RERqFtY1qiwK/7bVPQ4mNDgs05ar/mqa0/pb7+gpgbp++IYbtQpDOhSKdcutJxcrsRbnWDuetTsw0TI+WIDTFhArGCra8TVfPsFZaY7O5ndfMY79YmcGIJ6kGE8ja4dLJI/tyZ+XszQ4GLkpTVdcIaSFglqpTJjMyS6hmlF8UQAlgQAYSvK9tsfViSwfGLmVy+sOASObgdfXSP3tgvFCw23ESXXiPGQ7SH6DJi9hifvEvu7ar+uOLpiFjaJRIR42NrXxrFpoLoEjYqIsYDXWrmy4ipggQMn0qZK3dephseBIhYjY1+NzoZD9Gl5r7Y7FzeJxDRELQ/5VBEYRC92wSWWtc2HqIrLbD1GzJ1G4GEtqhrf9LRXiKDzTgicbAZkF7EBECIOI1VOQbj+yKhDVoEfvDg5+OZKYTLKDIHfj0B1JsQK8/+pf4CzT1ZpPPtCXkAAAAASUVORK5CYII=",TRUE,2/15/2020,Méru
5,Prudy,Giorgioni,pgiorgioni4@state.tx.us,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAJySURBVBgZpcFNbNN1HMDhT//9d926NWRb65BtB8MWAZGwZIGRcNAZD2qA6E6cOKDhAjFmBzwYYzQeOXHHiwfFAOHAZScUEmeUAPFlWzMDyOtm27XdoF1/3xdZ0iYcvBCeJ+HuvIiYlm+vVD535yN1GzIz1EDMUDXUHFFD1BA1RBUVR81+jWkx9xNTe7I5nsMX3y/uimnpjW7mGn+fYa1RxtQwMUwFF2VdI37s2kvVU4gJosKn+74mBE3HPFW6MZncnHybdGaAzKadeBA8CNqsU1+Zp2f0KK8PvguJiLbHDSGIEvOUqw0PRZdJdR1Aqr8RdY6hWqJRKfBnOMTS7T1wu8izDo730RQlLl57o8PVPuzuHQWSWP0RxOuU78zQ9+rHTL5ymA3nZpeYmhigrVhrEESJTXXMxY6ls6O41CH5MoSASJK/CvNY4SsiWSfv3Vy6+h6SGiAVw/bBDM2gxC52urN/PFcvzWNidGRGwGLyQ2/RUyqgoUlt6Qb3XjrJO3tHiFIZNiw+qCFixCZ69vH9n3/6vX5oevdwmpXCRXLDbyKNCs0nRR7KNmrbP6Oa2MKFa6vEiVUM2LGlE8fA3XF3vjx7y8srZV88N+YPZt73ue/2eWXhB2+bub7stSfB2+b/qfiRU7Me0yJmrF3/hHRnH8uNPKXRU9yrZ+FmkSgBweDK3AptW/MdqBoxLZvtF0LtDsv9x5nYP8XlP4pM7szRdn72Xz6YyNO2cLdKMoKYlqr0kh0/TbZnhIflOlsHurj1aA1VQ815bbCDhbtVnmXmlnB3Nkx/M3dVgu5uqnUHUYIoKkZQQ1T4P5XVxsWEu/Mi/gPrlHrAGd9XNQAAAABJRU5ErkJggg==",TRUE,12/2/2020,Banjar Sandinggianyar
6,Victor,O'Henery,vohenery5@mtv.com,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAFGSURBVDjLY/j//z8DJZhhcBtwa5ou062Zhp0PV7udvjVNO5lkA25M1Cx4czL//+/PJ/8/3xX+9myrqgfRBtycppf26mDs398fFv//cKXh/5vjdf/vLg74ui1PMZIoA+4utF7/893K/z+e1f3/8WLW/w8X6/5/e9Tw/+YM+w9EGXBrpknbl7ud/789yPr//VHx/2/34/9/uxX6/2y9xWe8BtycqmvycJXbqac7Au59uhn3/9ttv//f70b//3oDqLlB7/uiCAXcXrg1wyDm7jyrc98ezfz/9U7w/2833f6fmWD+5Xyz6YtLLWYvlscpBOMNxIerPc7/eLbw/6dLFv+/XXP/f3aK9deZ0cpJO4KleA/EyfISjMbH6zxO/nzZ9v/rTd//ZyZZfZ6bqBJLUkI62WvSenW+68vTvVYPlqarhg2DvEAMBgD1ZuZTUbWrEgAAAABJRU5ErkJggg==",FALSE,12/7/2020,Sipoholon
7,Farlee,Severy,fsevery6@ebay.com,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAJRSURBVBgZpcHda45xGMDx7/3yzB6ebc3ayJS8rBDTkixRMsoByoE/wIkDcbQTckJRTnYmB07kiPIaRa28JM2iaLLJS0mYtzLbnvu597t/1++6TCknitrnE5kZMxEzQzEzlB679M34C1HFe8WJ4D3kYuROcF7ICyPzSp4LKdPWd5T5wxA1QjBEDQmGF8Or4r3hRfFBKUQ5c+cLKb9N1ISgIGpIUIpgeFG8GIUoTgKFN5wohVfmVlLyqpAybfuaCv1Dk/SsrjBeC1wYGGNPdzPlughjmsHQuxr3RsbZu3keTpRz976iuSd2ItSc0lxJUIVZpZi8CJTrIvpufCICjl58z6LWOla2l2lvqWNxWz25VzQT4swJD99krFs6m6uPx6gvRezb2kqaRFRdwIDMBVRh4/JGfpmcCjgfsCyQVnNjy8oG7g5PsK2zkZpTTlz5yOHd7WRTATPIpgKDI9d59OIm1XyMQgqqsgl1XaTjeYEPxv2RCdYumYMZVJ1gZmQugEEk/bz89oQtm9axcG4Hd4evMfj8PC3zXhH1HB+xnV3NfPjuKLziRHHeKERxohSiNGkve3ZshyRm14qD9N3eR0LM+cu3iCcmhbwINNQnNMxOaConNFcSWioJrZWUtsYSP6pfKEUVdq04yC+9PWdY2tZJFHvS77nn1M2PmDfUKVYI5hVzAQrFgrJs1RjDowMMjT7g0LaznOzfS30yC9MSkZnxL90HFhxfuLjpyIbOjXTM7+L156cMPHvAh7fjfZGZ8T+6Dyw4CewHGoBJ4PTgqdFDPwHX2V3XB5aEeQAAAABJRU5ErkJggg==",FALSE,6/12/2020,Zhangjiang
8,Olva,Stickney,ostickney7@alexa.com,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAF1SURBVBgZpcE9axRRFIDh99y5s1nHjawQVEgQGxErIWgES9MGBDuxlrBVfkG6lBEsrUQEEXu7gNgIUSTBQrBSyYdgFjXMktmdmTvniLCB28/ziJnRhqMlR0ueyNrTLzY7A0UVON/r8PNojDjoZQlqwt98zNvdw9vfX97/yJQnMi4m3F26xr3FHm+2D1h/eJ3Yi3dDVOUDIEw5IkVZ82cU+G/r0y9OTQLkJQyPK0SUmCfinJAY1I3yeLCIqmFAgpF5KMuS/KQi5ol0U8ekrNl4/QMnEBpFG8UAMwODLFVinkhQo2wCiUsBQ2gQEUwNMyWEmqoKxDyRUVGTimewMkvQCnBgYKJ0fYfNV3v8zk+IeSKNGgkpyphnO6vMZZcRHMNin0e3nuDoUpQVMU/E+4Qrl+Bib8TyjSX6nXlwcDyZ58LZQNYBL0JMzIxTNwdb768unLnTn+nT9ecIWiOqiDWoFHzd+8ZRXvP5+QNhSsyMNhwtOVr6B/fLolbgemG4AAAAAElFTkSuQmCC",TRUE,2/8/2021,København
9,Jacinda,Sackler,jsackler8@163.com,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAQAAAC1+jfqAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAB8SURBVCjPY/zPgB8wMVCqgAVElP//x/AHDH+D4S8w/sWwl5GBgfE/MSYwMORk/54C0w2FOcemgmSIMyH1P7LNCHiLBDcEZ/+agqwXaFbOIxLc4P0f1e7fUPiZGDcw/AdD02z9/5r/Vf7L/Zf8L/Kf/z/3f/ZsiAwjxbEJAKUIVgAswNGVAAAAAElFTkSuQmCC",FALSE,3/17/2020,Magaria
10,Jacki,Straneo,jstraneo9@trellian.com,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAABGdBTUEAAK/INwWK6QAAABl0RVh0U29mdHdhcmUAQWRvYmUgSW1hZ2VSZWFkeXHJZTwAAAKJSURBVDjLnZPfS5NRGMffq/6BIMhuuvRGKLqooItuugiCoi4qiNDoh2RS6BCnkA6mG+3dD0bvHDXB0iTtwm1M4X39sQ0ZqAzJJYGUNWFuMje3vdtSW9u38xxaDOvKA9/3cA7P93Oe9znPEVwul8XpdN4CIBxGwsDAQL3dbp8zm80NhwLQx2Qyafr7+8O9vb3HDgXQ6/VHenp6ZrRa7Vx7e/tR2ltYWDDMz89X/H5/RVGUvcnJSb/b7b7wXwApEAi0tLW1bVksli/BYDDEzD/YACkT8OO7x42xsbG9kZER7T+ASCQiLy8v/1paWtoLhULY3t5GPp/HVlrFuhzEtzOnuJLTCgYHByus6G/+AlZWVsSNjQ1+0vMpLTeqqopEKofG9xXceQcEX3mQcEjIJpM8bnZ2FqIoGjiALYpkymazHFBVJpPBZjKLaCKHXC6HQqHARXCK7evrK7OiXxdYcSoEOGiuKhqNgmUJq9VaIe3s7PAs19bW0NXV9VWYmJgoE7VqqALS6TRkWYbP5wOLQbf52c+nL2/vP7RcRdOLy3grS9BoNBDGx8fz8Xicp0VGSjeVSmFxcRFer5cqj06xFboPTfCtSvgYV2Cdfoyb1gZca70IYXR0dJoqT0YCkNnhcMQ6OjrU5uZmMKl3DZfKnk82eD7bQUOceQDrzCOca6krCcPDw510Et0EAeh3WHvna+/6SvdpTK26UDu8EQlnW45DGBoaOsnuNR8OhxGLxVAsFmGz2cq1gPNPTuyalHswKI3cbJAbeQYMsMsDJEl6zdoUrJnAmgrsXezXAlig/oZYD7Nyn59MM63ZvsgD2GusY42xbjQaS+x+SzqdLnSw51mwkUmltP/MRtr/DeMW8yghqDBkAAAAAElFTkSuQmCC",FALSE,2/6/2021,Alenquer
